stnw.stnm lat lon stdp 
N.OWNH 40.484100 140.556500 130.000000
N.SHGH 40.462400 141.092300 315.000000
N.NWAH 40.449200 141.337400 65.000000
N.TTKH 40.296200 141.014500 235.000000
N.KRMH 40.270500 141.570900 260.000000
N.NHWH 40.261100 141.170900 225.000000
N.NHEH 40.238300 141.342300 230.000000
N.KHEH 40.153300 141.424500 365.000000
N.ASRH 40.139100 140.952900 308.000000
N.KJSH 40.086100 141.712000 240.000000
N.IHEH 40.081100 141.191500 629.000000
N.KZMH 39.939700 141.549200 570.000000
N.TMYH 39.825000 141.382600 675.000000
N.IWZH 39.802000 141.652000 310.000000
N.KANH 39.644200 141.597700 305.000000
N.SZKH 39.643600 140.946500 212.000000
N.YHBH 39.614800 141.092900 195.000000
N.KASH 39.463000 141.677500 552.000000
N.HMNH 39.455900 141.000100 220.000000
N.HMSH 39.343400 141.047300 106.000000
N.TOUH 39.334000 141.301500 260.000000
N.KGSH 39.197900 141.011800 200.000000
N.SMTH 39.180900 141.390900 620.000000
N.RZTH 39.030700 141.532000 80.000000
N.IW2H 39.009500 140.864000 380.000000
N.ICWH 39.009200 140.863800 386.000000
N.KOSH 40.456300 140.839500 405.000000
N.ODTH 40.300200 140.581200 85.000000
N.TSRH 40.275500 140.459600 45.000000
N.KZNH 40.062200 140.808400 320.000000
N.ANIH 39.981900 140.407200 145.000000
N.NSNH 39.814700 140.579000 318.000000
N.KWAH 39.688400 140.407500 165.000000
N.NSSH 39.663400 140.572100 95.000000
N.NSEH 39.557500 140.611600 95.000000
N.NSBH 39.545000 140.348100 20.000000
N.OMRH 39.354800 140.386900 65.000000
N.YUZH 39.191200 140.471000 74.000000
N.HNRH 39.174000 140.712900 280.000000
N.CHKH 39.071800 140.318500 275.000000
